1|Thursday, September 08, 2022 at 8:20 PM -0500|Buffalo Bills|Los Angeles Rams|SoFi Stadium, Inglewood
1|Sunday, September 11, 2022 at 1:00 PM -0500|New Orleans Saints|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
1|Sunday, September 11, 2022 at 1:00 PM -0500|San Francisco 49ers|Chicago Bears|Soldier Field, Chicago
1|Sunday, September 11, 2022 at 1:00 PM -0500|Pittsburgh Steelers|Cincinnati Bengals|Paycor Stadium, Cincinnati
1|Sunday, September 11, 2022 at 1:00 PM -0500|Philadelphia Eagles|Detroit Lions|Ford Field, Detroit
1|Sunday, September 11, 2022 at 1:00 PM -0500|New England Patriots|Miami Dolphins|Hard Rock Stadium, Miami Gardens
1|Sunday, September 11, 2022 at 1:00 PM -0500|Baltimore Ravens|New York Jets|MetLife Stadium, East Rutherford
1|Sunday, September 11, 2022 at 1:00 PM -0500|Jacksonville Jaguars|Washington Commanders|FedExField, Landover
1|Sunday, September 11, 2022 at 1:00 PM -0500|Cleveland Browns|Carolina Panthers|Bank of America Stadium, Charlotte
1|Sunday, September 11, 2022 at 1:00 PM -0500|Indianapolis Colts|Houston Texans|NRG Stadium, Houston
1|Sunday, September 11, 2022 at 4:25 PM -0500|New York Giants|Tennessee Titans|Nissan Stadium, Nashville
1|Sunday, September 11, 2022 at 4:25 PM -0500|Green Bay Packers|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
1|Sunday, September 11, 2022 at 4:25 PM -0500|Kansas City Chiefs|Arizona Cardinals|State Farm Stadium, Glendale
1|Sunday, September 11, 2022 at 4:25 PM -0500|Las Vegas Raiders|Los Angeles Chargers|SoFi Stadium, Inglewood
1|Sunday, September 11, 2022 at 8:20 PM -0500|Tampa Bay Buccaneers|Dallas Cowboys|AT&T Stadium, Arlington
1|Monday, September 12, 2022 at 8:15 PM -0500|Denver Broncos|Seattle Seahawks|Lumen Field, Seattle
2|Thursday, September 15, 2022 at 8:15 PM -0500|Los Angeles Chargers|Kansas City Chiefs|GEHA Field at Arrowhead Stadium, Kansas City
2|Sunday, September 18, 2022 at 1:00 PM -0500|New York Jets|Cleveland Browns|FirstEnergy Stadium, Cleveland
2|Sunday, September 18, 2022 at 1:00 PM -0500|Washington Commanders|Detroit Lions|Ford Field, Detroit
2|Sunday, September 18, 2022 at 1:00 PM -0500|Tampa Bay Buccaneers|New Orleans Saints|Caesars Superdome, New Orleans
2|Sunday, September 18, 2022 at 1:00 PM -0500|Carolina Panthers|New York Giants|MetLife Stadium, East Rutherford
2|Sunday, September 18, 2022 at 1:00 PM -0500|New England Patriots|Pittsburgh Steelers|Acrisure Stadium, Pittsburgh
2|Sunday, September 18, 2022 at 1:00 PM -0500|Indianapolis Colts|Jacksonville Jaguars|TIAA Bank Field, Jacksonville
2|Sunday, September 18, 2022 at 1:00 PM -0500|Miami Dolphins|Baltimore Ravens|M&T Bank Stadium, Baltimore
2|Sunday, September 18, 2022 at 4:05 PM -0500|Atlanta Falcons|Los Angeles Rams|SoFi Stadium, Inglewood
2|Sunday, September 18, 2022 at 4:05 PM -0500|Seattle Seahawks|San Francisco 49ers|Levi's Stadium, Santa Clara
2|Sunday, September 18, 2022 at 4:25 PM -0500|Cincinnati Bengals|Dallas Cowboys|AT&T Stadium, Arlington
2|Sunday, September 18, 2022 at 4:25 PM -0500|Houston Texans|Denver Broncos|Empower Field at Mile High, Denver
2|Sunday, September 18, 2022 at 4:25 PM -0500|Arizona Cardinals|Las Vegas Raiders|Allegiant Stadium, Las Vegas
2|Sunday, September 18, 2022 at 8:20 PM -0500|Chicago Bears|Green Bay Packers|Lambeau Field, Green Bay
2|Monday, September 19, 2022 at 7:15 PM -0500|Tennessee Titans|Buffalo Bills|Highmark Stadium, Orchard Park
2|Monday, September 19, 2022 at 8:30 PM -0500|Minnesota Vikings|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
3|Thursday, September 22, 2022 at 8:15 PM -0500|Pittsburgh Steelers|Cleveland Browns|FirstEnergy Stadium, Cleveland
3|Sunday, September 25, 2022 at 1:00 PM -0500|Houston Texans|Chicago Bears|Soldier Field, Chicago
3|Sunday, September 25, 2022 at 1:00 PM -0500|Las Vegas Raiders|Tennessee Titans|Nissan Stadium, Nashville
3|Sunday, September 25, 2022 at 1:00 PM -0500|Kansas City Chiefs|Indianapolis Colts|Lucas Oil Stadium, Indianapolis
3|Sunday, September 25, 2022 at 1:00 PM -0500|Buffalo Bills|Miami Dolphins|Hard Rock Stadium, Miami Gardens
3|Sunday, September 25, 2022 at 1:00 PM -0500|Detroit Lions|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
3|Sunday, September 25, 2022 at 1:00 PM -0500|Baltimore Ravens|New England Patriots|Gillette Stadium, Foxboro
3|Sunday, September 25, 2022 at 1:00 PM -0500|Cincinnati Bengals|New York Jets|MetLife Stadium, East Rutherford
3|Sunday, September 25, 2022 at 1:00 PM -0500|Philadelphia Eagles|Washington Commanders|FedExField, Landover
3|Sunday, September 25, 2022 at 1:00 PM -0500|New Orleans Saints|Carolina Panthers|Bank of America Stadium, Charlotte
3|Sunday, September 25, 2022 at 4:05 PM -0500|Jacksonville Jaguars|Los Angeles Chargers|SoFi Stadium, Inglewood
3|Sunday, September 25, 2022 at 4:25 PM -0500|Los Angeles Rams|Arizona Cardinals|State Farm Stadium, Glendale
3|Sunday, September 25, 2022 at 4:25 PM -0500|Atlanta Falcons|Seattle Seahawks|Lumen Field, Seattle
3|Sunday, September 25, 2022 at 4:25 PM -0500|Green Bay Packers|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
3|Sunday, September 25, 2022 at 8:20 PM -0500|San Francisco 49ers|Denver Broncos|Empower Field at Mile High, Denver
