,,,,,,2022 - 2023 NFL Schedule,,,
,,,,,,,,,
,,,,,,WEEK 1:,,,
,,,,,,"Thursday, September 08, 2022",Buffalo Bills @ Los Angeles Rams,8:20 PM,"SoFi Stadium, Inglewood"
,,,,,,"Sunday, September 11, 2022",New Orleans Saints @ Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
,,,,,,,San Francisco 49ers @ Chicago Bears,1:00 PM,"Soldier Field, Chicago"
,,,,,,,Pittsburgh Steelers @ Cincinnati Bengals,1:00 PM,"Paycor Stadium, Cincinnati"
,,,,,,,Philadelphia Eagles @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,New England Patriots @ Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
,,,,,,,Baltimore Ravens @ New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
,,,,,,,Jacksonville Jaguars @ Washington Commanders,1:00 PM,"FedExField, Landover"
,,,,,,,Cleveland Browns @ Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
,,,,,,,Indianapolis Colts @ Houston Texans,1:00 PM,"NRG Stadium, Houston"
,,,,,,,New York Giants @ Tennessee Titans,4:25 PM,"Nissan Stadium, Nashville"
,,,,,,,Green Bay Packers @ Minnesota Vikings,4:25 PM,"U.S. Bank Stadium, Minneapolis"
,,,,,,,Kansas City Chiefs @ Arizona Cardinals,4:25 PM,"State Farm Stadium, Glendale"
,,,,,,,Las Vegas Raiders @ Los Angeles Chargers,4:25 PM,"SoFi Stadium, Inglewood"
,,,,,,,Tampa Bay Buccaneers @ Dallas Cowboys,8:20 PM,"AT&T Stadium, Arlington"
,,,,,,"Monday, September 12, 2022",Denver Broncos @ Seattle Seahawks,8:15 PM,"Lumen Field, Seattle"
,,,,,,,,,
,,,,,,WEEK 2:,,,
,,,,,,"Thursday, September 15, 2022",Los Angeles Chargers @ Kansas City Chiefs,8:15 PM,"GEHA Field at Arrowhead Stadium, Kansas City"
,,,,,,"Sunday, September 18, 2022",New York Jets @ Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
,,,,,,,Washington Commanders @ Detroit Lions,1:00 PM,"Ford Field, Detroit"
,,,,,,,Tampa Bay Buccaneers @ New Orleans Saints,1:00 PM,"Caesars Superdome, New Orleans"
,,,,,,,Carolina Panthers @ New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
